TIME,TYPE,MESSAGE
LOG FILE INTIALIZED
15:58:43,ENCODE,Encoding complete!
15:58:55,INIT,HAP-PY v0.0.1 started
15:58:56,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:58:57,ENCODE,Total number of files to encode: 1
15:58:57,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
15:58:58,ENCODE,Encoding progress: 25%
15:58:58,ENCODE,Encoding complete!
15:59:08,INIT,HAP-PY v0.0.1 started
15:59:09,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:59:10,ENCODE,Total number of files to encode: 1
15:59:10,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
15:59:10,ENCODE,Encoding progress: 25%
15:59:11,ENCODE,Encoding complete!
15:59:45,INIT,HAP-PY v0.0.1 started
15:59:47,INIT,HAP-PY v0.0.1 started
15:59:48,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:59:48,ENCODE,Total number of files to encode: 1
15:59:48,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
15:59:49,ENCODE,Encoding progress: 25%
15:59:50,ENCODE,Encoding complete!
16:00:12,INIT,HAP-PY v0.0.1 started
16:00:14,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
16:00:15,ENCODE,Total number of files to encode: 1
16:00:15,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
16:00:15,ENCODE,Encoding progress: 25%
16:00:16,ENCODE,Encoding complete!
16:00:21,INIT,HAP-PY v0.0.1 started
16:00:24,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
16:00:25,ENCODE,Total number of files to encode: 1
16:00:25,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
16:00:25,ENCODE,Encoding progress: 25%
16:00:26,ENCODE,Encoding complete!
16:01:40,ENCODE,Total number of files to encode: 1
16:01:40,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
16:01:42,ENCODE,Encoding complete!
16:01:58,INIT,HAP-PY v0.0.1 started
16:01:59,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
16:02:00,ENCODE,Total number of files to encode: 1
16:02:00,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
16:02:01,ENCODE,Encoding progress: 25%
16:02:01,ENCODE,Encoding complete!
16:02:21,INIT,HAP-PY v0.0.1 started
16:02:23,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
16:02:24,ENCODE,Total number of files to encode: 1
16:02:24,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
16:02:24,ENCODE,Encoding progress: 25%
16:02:25,ENCODE,Encoding complete!
16:03:09,INIT,HAP-PY v0.0.1 started
16:03:18,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
16:03:18,ENCODE,Total number of files to encode: 1
16:03:18,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
16:03:19,ENCODE,Encoding progress: 25%
16:03:20,ENCODE,Encoding complete!
16:03:27,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:03:30,FILE,Removing TCBLogo_White - Copy.png from the file tree
16:03:31,ENCODE,Total number of files to encode: 1
16:03:31,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:03:32,ENCODE,Encoding complete!
16:03:49,ENCODE,Total number of files to encode: 1
16:03:49,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:03:50,ENCODE,Encoding complete!
16:03:54,ENCODE,Total number of files to encode: 1
16:03:54,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:03:55,ENCODE,Encoding complete!
16:04:25,ENCODE,Total number of files to encode: 1
16:04:25,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:04:26,ENCODE,Encoding complete!
16:06:02,INIT,HAP-PY v0.0.1 started
16:06:04,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:06:05,ENCODE,Total number of files to encode: 1
16:06:29,INIT,HAP-PY v0.0.1 started
16:06:30,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:06:31,ENCODE,Total number of files to encode: 1
16:06:31,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:06:32,ENCODE,Encoding progress: 25%
16:06:32,ENCODE,Encoding complete!
16:06:34,ENCODE,Total number of files to encode: 1
16:06:34,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:06:35,ENCODE,Encoding complete!
16:06:36,ENCODE,Total number of files to encode: 1
16:06:36,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:06:38,ENCODE,Encoding complete!
16:06:40,ENCODE,Total number of files to encode: 1
16:06:40,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:06:41,ENCODE,Encoding complete!
16:07:00,INIT,HAP-PY v0.0.1 started
16:07:02,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:07:03,ENCODE,Total number of files to encode: 1
16:07:03,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:07:03,ENCODE,Encoding progress: 25%
16:07:04,ENCODE,Encoding complete!
16:07:06,ENCODE,Total number of files to encode: 1
16:07:06,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:07:07,ENCODE,Encoding complete!
16:07:29,INIT,HAP-PY v0.0.1 started
16:07:31,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:07:31,ENCODE,Total number of files to encode: 1
16:07:31,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:07:32,ENCODE,Encoding progress: 25%
16:07:33,ENCODE,Encoding complete!
16:07:58,INIT,HAP-PY v0.0.1 started
16:07:59,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:08:00,ENCODE,Total number of files to encode: 1
16:08:00,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:08:01,ENCODE,Encoding progress: 25%
16:08:01,ENCODE,Encoding complete!
16:09:09,INIT,HAP-PY v0.0.1 started
16:09:10,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:09:11,ENCODE,Total number of files to encode: 1
16:09:17,INIT,HAP-PY v0.0.1 started
16:09:18,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:09:19,ENCODE,Total number of files to encode: 1
16:09:19,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:09:19,ENCODE,Encoding progress: 25%
16:09:20,ENCODE,Encoding complete!
16:09:20,ENCODE,Total number of files to encode: 1
